"","formulae","accuracy"
"79","dummy.living ~ nr_pix + cols_with_5 + hollowness",0.9625
"171","dummy.living ~ nr_pix + hollowness + avg_pixel_weight",0.9625
"765","dummy.living ~ cols_with_5 + left_diagonals + hollowness",0.95
"169","dummy.living ~ nr_pix + nr_eyes + hollowness",0.93125
"203","dummy.living ~ height + span + hollowness",0.93125
"228","dummy.living ~ height + cols_with_5 + left_diagonals",0.93125
"368","dummy.living ~ width + cols_with_5 + hollowness",0.925
"191","dummy.living ~ height + span + neigh1",0.91875
"564","dummy.living ~ span + horizontalness + hollowness",0.91875
"834","dummy.living ~ neigh1 + horizontalness + left_diagonals",0.91875
"200","dummy.living ~ height + span + right_diagonals",0.9125
"488","dummy.living ~ span + cols_with_5 + hollowness",0.9125
"578","dummy.living ~ span + nr_eyes + hollowness",0.9125
"314","dummy.living ~ height + left_diagonals + avg_pixel_weight",0.90625
"460","dummy.living ~ width + hollowness + avg_pixel_weight",0.9
"501","dummy.living ~ span + neigh1 + hollowness",0.9
"580","dummy.living ~ span + hollowness + avg_pixel_weight",0.9
"701","dummy.living ~ cols_with_5 + neigh5 + verticalness",0.9
"705","dummy.living ~ cols_with_5 + neigh5 + left_diagonals",0.9
"706","dummy.living ~ cols_with_5 + neigh5 + right_diagonals",0.9
"241","dummy.living ~ height + neigh1 + left_diagonals",0.89375
"513","dummy.living ~ span + neigh5 + hollowness",0.89375
"593","dummy.living ~ rows_with_5 + cols_with_5 + hollowness",0.89375
"686","dummy.living ~ cols_with_5 + neigh1 + neigh5",0.89375
"699","dummy.living ~ cols_with_5 + neigh5 + left2tile",0.89375
"1109","dummy.living ~ horizontalness + left_diagonals + hollowness",0.89375
"558","dummy.living ~ span + bottom2tile + hollowness",0.8875
"685","dummy.living ~ rows_with_5 + hollowness + avg_pixel_weight",0.8875
"700","dummy.living ~ cols_with_5 + neigh5 + right2tile",0.8875
"458","dummy.living ~ width + nr_eyes + hollowness",0.88125
"693","dummy.living ~ cols_with_5 + neigh1 + left_diagonals",0.88125
"67","dummy.living ~ nr_pix + cols_with_5 + neigh1",0.875
"97","dummy.living ~ nr_pix + neigh5 + top2tile",0.875
"98","dummy.living ~ nr_pix + neigh5 + bottom2tile",0.875
"573","dummy.living ~ span + right_diagonals + hollowness",0.875
"581","dummy.living ~ rows_with_5 + cols_with_5 + neigh1",0.875
"766","dummy.living ~ cols_with_5 + left_diagonals + avg_pixel_weight",0.875
"782","dummy.living ~ neigh1 + neigh5 + horizontalness",0.875
"788","dummy.living ~ neigh1 + neigh5 + avg_pixel_weight",0.875
"50","dummy.living ~ nr_pix + span + hollowness",0.86875
"151","dummy.living ~ nr_pix + horizontalness + left_diagonals",0.86875
"310","dummy.living ~ height + left_diagonals + right_diagonals",0.86875
"311","dummy.living ~ height + left_diagonals + nr_regions",0.86875
"357","dummy.living ~ width + cols_with_5 + neigh5",0.86875
"474","dummy.living ~ span + rows_with_5 + hollowness",0.86875
"524","dummy.living ~ span + left2tile + hollowness",0.86875
"534","dummy.living ~ span + right2tile + hollowness",0.86875
"569","dummy.living ~ span + left_diagonals + hollowness",0.86875
"605","dummy.living ~ rows_with_5 + neigh1 + nr_eyes",0.86875
"680","dummy.living ~ rows_with_5 + nr_regions + nr_eyes",0.86875
"683","dummy.living ~ rows_with_5 + nr_eyes + hollowness",0.86875
"709","dummy.living ~ cols_with_5 + neigh5 + hollowness",0.86875
"221","dummy.living ~ height + cols_with_5 + neigh5",0.8625
"312","dummy.living ~ height + left_diagonals + nr_eyes",0.8625
"543","dummy.living ~ span + verticalness + hollowness",0.8625
"551","dummy.living ~ span + top2tile + hollowness",0.8625
"576","dummy.living ~ span + nr_regions + hollowness",0.8625
"1085","dummy.living ~ bottom2tile + horizontalness + left_diagonals",0.8625
"339","dummy.living ~ width + span + hollowness",0.85625
"590","dummy.living ~ rows_with_5 + cols_with_5 + right_diagonals",0.85625
"592","dummy.living ~ rows_with_5 + cols_with_5 + nr_eyes",0.85625
"595","dummy.living ~ rows_with_5 + neigh1 + neigh5",0.85625
"786","dummy.living ~ neigh1 + neigh5 + nr_eyes",0.85625
"99","dummy.living ~ nr_pix + neigh5 + horizontalness",0.85
"491","dummy.living ~ span + neigh1 + left2tile",0.85
"492","dummy.living ~ span + neigh1 + right2tile",0.85
"493","dummy.living ~ span + neigh1 + verticalness",0.85
"497","dummy.living ~ span + neigh1 + left_diagonals",0.85
"710","dummy.living ~ cols_with_5 + neigh5 + avg_pixel_weight",0.85
"762","dummy.living ~ cols_with_5 + left_diagonals + right_diagonals",0.85
"893","dummy.living ~ neigh5 + bottom2tile + horizontalness",0.85
"903","dummy.living ~ neigh5 + horizontalness + nr_eyes",0.85
"1064","dummy.living ~ top2tile + horizontalness + left_diagonals",0.85
"172","dummy.living ~ height + width + span",0.84375
"195","dummy.living ~ height + span + verticalness",0.84375
"354","dummy.living ~ width + rows_with_5 + hollowness",0.84375
"589","dummy.living ~ rows_with_5 + cols_with_5 + left_diagonals",0.84375
"707","dummy.living ~ cols_with_5 + neigh5 + nr_regions",0.84375
"708","dummy.living ~ cols_with_5 + neigh5 + nr_eyes",0.84375
"886","dummy.living ~ neigh5 + top2tile + horizontalness",0.84375
"955","dummy.living ~ left2tile + horizontalness + left_diagonals",0.84375
"1000","dummy.living ~ right2tile + horizontalness + left_diagonals",0.84375
"13","dummy.living ~ nr_pix + height + left_diagonals",0.8375
"34","dummy.living ~ nr_pix + width + hollowness",0.8375
"91","dummy.living ~ nr_pix + neigh1 + nr_eyes",0.8375
"202","dummy.living ~ height + span + nr_eyes",0.8375
"264","dummy.living ~ height + left2tile + left_diagonals",0.8375
"327","dummy.living ~ width + span + neigh1",0.8375
"453","dummy.living ~ width + right_diagonals + hollowness",0.8375
"490","dummy.living ~ span + neigh1 + neigh5",0.8375
